article_id,title,issue_url,pdf_url
20250604,PDF 1.01 M (271),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250604?st=article_issue
20250605,PDF 1.18 M (266),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250605?st=article_issue
20250606,PDF 1.82 M (290),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250606?st=article_issue
20250607,PDF 1.46 M (267),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250607?st=article_issue
20250608,PDF 1.23 M (247),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250608?st=article_issue
20250609,PDF 1.35 M (364),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250609?st=article_issue
20250610,PDF 1.48 M (281),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250610?st=article_issue
20250611,PDF 1.17 M (306),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250611?st=article_issue
20250612,PDF 1.22 M (243),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250612?st=article_issue
20250613,PDF 998.63 K (319),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250613?st=article_issue
20250614,PDF 1.80 M (263),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250614?st=article_issue
20250615,PDF 1.60 M (279),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250615?st=article_issue
20250616,PDF 1.23 M (265),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250616?st=article_issue
20250617,PDF 1.04 M (256),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250617?st=article_issue
2025060000,PDF 504.58 K (176),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/2025060000?st=article_issue
20250501,PDF 1.53 M (788),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250501?st=article_issue
20250502,PDF 2.82 M (336),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250502?st=article_issue
20250503,PDF 3.77 M (356),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250503?st=article_issue
20250504,PDF 1.34 M (298),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250504?st=article_issue
20250505,PDF 1.58 M (310),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250505?st=article_issue
20250506,PDF 1.92 M (296),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250506?st=article_issue
20250507,PDF 1.83 M (291),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250507?st=article_issue
20250508,PDF 1.28 M (292),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250508?st=article_issue
20250509,PDF 1.06 M (278),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250509?st=article_issue
20250510,PDF 1.28 M (295),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250510?st=article_issue
20250511,PDF 1.04 M (406),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250511?st=article_issue
20250512,PDF 1.26 M (331),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250512?st=article_issue
20250513,PDF 1.22 M (306),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250513?st=article_issue
20250514,PDF 1.27 M (308),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250514?st=article_issue
20250515,PDF 1.09 M (354),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_5,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250515?st=article_issue
